name,radar_an,radar_an2,radar_m0,radar_per,Unnamed: 5,vis_an,vis_an2,vis_swh1,vis_swh2,vis_per1,vis_per2,vis_len1,vis_len2,radar_an3,lat_radar,lon_radar,speed,sat_swh
2022-10-04_11-50,70,70,0.146058063646895,5.12096774193548,,200,,1.5,,6.6,,16,,144.934356681241,53.6178517668496,3.61943699429135,3.82335416666667,
2022-10-06_11-56,348,348,0.251722091895934,8.35526315789474,,270,,1.7,,10.2,,32.8,,141.095889576519,49.4656894157255,-4.33824901389251,6.15441666666667,0.583
2022-10-07_08-54,339,339,0.190488458755374,10.7627118644068,,302,260,2.3,1.5,9.8,10,26.8,20,149.463431963631,47.5704708243647,-8.64306216213471,4.66727083333333,3.427
2022-10-07_11-55,317,317,0.169998505992718,10.5833333333333,,297,326,2.7,1.7,12,6.7,42,25,138.643760755486,47.3265284433011,-9.16177749971163,4.39454166666667,2.976
2022-10-08_12-00,312,312,0.0944159492306654,17.6388888888889,,326,,3.1,,13.2,,96,,42.2014741920358,45.8867223127521,-13.1261068492394,4.38682291666667,2.953
2022-10-09_11-56,13,13,0.0693315597915975,9.76923076923077,,248,,1.58,,7.4,,20.3,,56.183370992815,43.1607634437369,-14.952133387425,4.65183333333333,1.681
2022-10-10_12-00,115,115,0.108103970536837,13.5106382978723,,338,,1.7,,5.6,,12.8,,33.5583061855655,40.4124456851451,-15.5309659359785,4.52833333333333,
2022-10-11_12-04,281,281,0.297552326473985,12.7,,338,,1.6,,8.8,,26,,40.4015654305133,37.7364762833319,-17.0891211535685,4.3996875,2.891
2022-10-12_12-04,30,30,0.370842086449779,12.7,,23,,1.4,,12.3,,37.5,,11.4697230975544,35.6960945366322,-20.1037327244302,4.71872916666667,1.949
2022-10-13_13-02,35,35,0.300102669645356,13.5106382978723,,30,,1,,7.6,,23,,22.9694320358839,32.5471176600165,-21.9785128382733,4.7084375,
2022-10-15_13-12,42,42,0.225495732333513,12.2115384615385,,55,,1.4,,7.8,,26,,42.8772469733738,25.8130686071079,-22.974527409659,4.99660416666667,
2022-10-16_12-57,51,51,0.0364638759519445,11.5454545454545,,43,,0.6,,6.3,,21.8,,38.7352778267658,22.3998602848128,-22.0954814178309,4.847375,0.951
2022-10-17_12-59,,,,,,30,,1.3,,5.8,,15.3,,,18.9753153789094,-20.8866335807325,6.74104166666667,
2022-10-18_08-58,,,,,,12,,0.7,,8.6,,27.4,,,14.7736273351971,-20.6363891113012,6.41685416666667,1.401
2022-10-18_13-03,,,,,,16,,0.7,,8.2,,28.4,,,13.9290403758091,-20.5876379786494,6.391125,1.179
2022-10-18_16-56,,,,,,6,,0.6,,7.6,,26,,,13.1231199108311,-20.5410861388948,6.25733333333333,1.183
2022-10-19_08-59,,,,,,8,,0.6,,6.4,,21.4,,,10.785278258003,-20.4126120530038,4.38939583333333,1.349
2022-10-19_12-56,177,177,-0.0309563825890327,5.29166666666667,,74,,0.6,,8,,28,,126.648668893662,10.2177052801705,-20.3848075042304,4.44085416666667,1.303
2022-10-20_11-06,23,23,0.12166013542586,8.14102564102564,,???,,0,,,,,,0,9.37161034131115,-19.8026200862626,0.141510416666667,
2022-10-20_12-53,72,72,0.0383816798300617,8.0379746835443,,357,,1,,12.2,,55,,0,9.3715373662813,-19.802608161182,0.149229166666667,
2022-10-21_08-59,145,145,-0.22465726628645,6.28712871287129,,160,,1.5,,7.8,,35,,77.0778378698531,8.33911159142108,-19.1279076059173,4.47172916666667,1.627
2022-10-21_12-58,272,272,0.162977728960729,8.94366197183099,,162,,1.3,,7.6,,43,,0,7.99968567245376,-18.9990834220274,0.164666666666667,1.741
2022-10-22_08-54,,,,,,171,,1.7,,8.2,,39,,,6.25722458439157,-19.0001409364526,4.18870833333333,
2022-10-22_12-58,,,,,,175,,1.7,,8.5,,43,,,6.00057092134224,-18.9980068930611,0.257291666666667,
2022-10-24_12-45,,,,,,168,168,2.1,0.7,10,5,33,12,,2.99389806113022,-18.9977496220351,1.64666666666667,
2022-10-25_13-50,,,,,,170,136,1.7,0.8,10.6,5.2,56,9,,1.42391234824077,-18.9933584288923,2.47514583333333,2.008
2022-10-26_12-57,,,,,,156,206,1.4,1.2,10.5,5.6,40,13.5,,-0.0012684953159335,-19.0001873221526,0.288166666666667,1.914
2022-10-28_09-01,,,,,,120,206,1.66,,7.4,,33,,,-0.0167405227120737,-17.1915722746515,4.0909375,2.117
2022-10-28_12-55,,,,,,128,,1.7,,8.8,,41,,,-0.0204601170572936,-17.1995101015168,0.156947916666667,1.844
2022-10-28_16-56,,,,,,128,,1.7,,9,,39,,,0.237399477032603,-17.0938431021999,4.14496875,
2022-10-29_08-56,,,,,,161,190,0.8,0.66,9,7,37,39,,0.3998723978653,-16.4379546268783,4.85766666666667,1.508
2022-10-29_10-57,,,,,,140,,1,,7.2,,30,,,0.368410007893973,-16.427632412473,0.283020833333333,1.508
2022-10-29_12-55,,,,,,138,,1.4,,7.8,,33,,,0.368373219462934,-16.4274554005761,0.159520833333333,1.508
2022-10-29_18-55,,,,,,156,,1.5,,7.6,,34,,,0.516308661970124,-15.8804034150008,3.89539583333333,1.443
2022-10-30_08-58,,,,,,150,,1,,7.5,,27,,,0.56774157787252,-15.5072294773383,5.12010416666667,
2022-10-30_12-59,,,,,,145,,1,,8.5,,27,,,0.329086000640208,-15.5870899563265,3.86966666666667,
2022-10-30_16-56,,,,,,119,182,1.2,1.2,5.8,7.6,20,35,,0.357531293582656,-15.201007877466,2.84307291666667,
2022-10-31_06-59,,,,,,138,163,1.1,0.8,8,4.5,34,20,,0.700392047766268,-14.7503198197428,0.164666666666667,1.771
2022-10-31_10-59,,,,,,157,,1.2,,5.1,,16.4,,,0.726006599924042,-14.6210774607439,4.00088541666667,1.679
2022-10-31_12-57,,,,,,228,,1.1,,5.2,,17,,,0.538134005215627,-14.6119194517599,3.73072916666667,1.662
2022-10-31_16-57,,,,,,205,,1.3,,6,,20,,,0.541062894501355,-14.5086820105378,3.96486458333333,
2022-11-01_06-57,,,,,,160,,1.5,,7.5,,33,,,0.894661117652128,-13.7127712727054,3.84908333333333,1.651
2022-11-01_10-56,,,,,,165,,1.5,,8,,33,,,0.86421855426081,-13.7041203445981,2.67583333333333,1.731
2022-11-01_12-57,,,,,,165,,1.3,,7.8,,34,,,0.670097216560032,-13.6673438682651,4.78819791666667,1.753
2022-11-01_18-56,,,,,,175,,1.7,,7,,25,,,0.927603276486246,-13.3726108138603,3.67669791666667,1.759
2022-11-02_08-55,,,,,,160,,1.4,,7.4,,28,,,0.818819652202105,-13.2553366939723,0.128645833333333,
2022-11-02_10-59,,,,,,150,,1.6,,7.4,,29,,,0.747361552296196,-13.2174460403589,3.9674375,
2022-11-02_12-59,,,,,,150,,1.6,,7,,31,,,0.514132497172604,-13.0935989804612,4.08579166666667,
2022-11-02_16-58,,,,,,165,,1.7,,7,,26,,,0.04823221988384,-12.8462838002077,4.20414583333333,
2022-11-03_06-58,,,,,,160,,0.9,,7.4,,29,,,-0.850925301669654,-13.0809463324266,4.66727083333333,1.358
2022-11-03_12-58,,,,,,180,,1.1,,6.8,,29,,,-0.761353440178192,-13.1378777103249,4.49745833333333,
2022-11-04_12-57,,,,,,182,145,1.2,0.85,8.4,7,41,27,,-0.885306798206047,-13.4796853991492,2.55747916666667,
2022-11-04_16-58,,,,,,150,170,1.3,0.8,9,8,42,30,,-1.10322880456425,-13.811286633614,4.45114583333333,
2022-11-05_06-55,,,,,,155,,1.2,,7,,30,,,-1.14695902740459,-14.327024192121,4.17069791666667,1.348
2022-11-05_12-58,,,,,,154,,1.4,,7.3,,34,,,-1.26247107914489,-14.7073654506722,4.90397916666667,1.524
2022-11-05_16-59,,,,,,100,130,1.7,1.2,5,7.5,21,35,,-1.34243829733976,-14.9936410852198,4.09608333333333,
2022-11-06_06-58,,,,,,150,175,1.2,0.7,7.2,6,33,20,,-1.44669811243105,-15.2105467001506,4.87310416666667,1.632
2022-11-06_10-58,,,,,,152,,1.3,,7,,31,,,-1.51232590293515,-15.4815364549276,4.9863125,1.743
2022-11-06_13-00,,,,,,155,,1.2,,7.2,,30,,,-1.56054067049563,-15.6227382069859,4.96572916666667,1.748
2022-11-06_16-52,,,,,,135,,1.3,,7.2,,28,,,-1.68393179203238,-16.2330093686286,4.97859375,
2022-11-07_06-57,,,,,,140,,1.1,,6.3,,26,,,-1.88207906069567,-17.0536902615437,4.5231875,1.764
2022-11-07_09-11,,,,,,162,,1.5,,7,,34,,,-1.83745696480501,-17.0691335440364,0.144083333333333,1.765
2022-11-07_12-56,,,,,,162,,1.8,,7,,35,,,-1.85911034610755,-17.2300156639575,3.36280208333333,
2022-11-07_18-55,,,,,,150,,1.5,,7.8,,43,,,-2.02764761982173,-17.7234725404284,4.96058333333333,1.877
2022-11-08_10-54,,,,,,146,,1.3,,7.8,,28,,,-2.11100646736836,-18.4502598976896,5.48803125,1.81
2022-11-08_12-57,,,,,,142,,1.4,,6.8,,29,,,-2.18322931455768,-18.6649692592491,5.403125,1.817
2022-11-08_16-52,,,,,,150,,1.7,,7.2,,30,,,-2.15786431772526,-18.7194686646051,0.205833333333333,
2022-11-09_06-57,,,,,,146,,1.5,,6.8,,26,,,-1.00032536389089,-19.0895310114212,0.1698125,2.108
2022-11-09_10-57,,,,,,150,,1.2,,6.9,,25,,,-0.809519409901238,-19.1606927766531,5.27447916666667,2.062
2022-11-09_12-58,,,,,,150,,1.2,,7.6,,37,,,-0.486258249801167,-19.2862761657359,5.33108333333333,2.033
2022-11-09_16-57,,,,,,150,,1.8,,7.4,,31,,,-0.45042137266365,-19.2996783243009,0.198114583333333,
2022-11-10_08-56,,,,,,160,,1.8,,7.2,,33,,,-0.332738231701784,-19.6476341393893,4.6775625,
2022-11-10_12-57,,,,,,182,,1.5,,7.2,,32,,,-0.515440860729254,-19.9490584107174,4.75989583333333,
2022-11-10_18-57,,,,,,150,,1.7,,7.6,,32,,,-0.647228340112529,-20.1504347570189,4.34822916666667,2.223
2022-11-11_08-52,,,,,,150,,1.5,,7.5,,28,,,-0.516891297217231,-20.4242579520357,4.4305625,
2022-11-11_12-52,,,,,,152,,1.6,,7.6,,30,,,-0.7775950567263,-20.8357599251547,5.20758333333333,1.904
2022-11-11_18-56,,,,,,136,,1.4,,8.2,,33,,,-0.866251664080288,-21.6558982371255,4.5849375,1.687
2022-11-12_07-29,,,,,,140,100,1.5,1,8.8,7,44,30,,-0.727434510837352,-21.0856674902988,5.10466666666667,1.89
2022-11-12_12-57,,,,,,140,125,1.3,1.1,7,5,30,8,,-1.14164955064933,-20.8760869542688,4.51289583333333,1.868
2022-11-12_16-56,,,,,,150,270,1.4,1,8.2,10,30,40,,-1.22154630439349,-21.1552473359251,4.95029166666667,
2022-11-13_10-57,,,,,,140,,1.4,,7,,30,,,-0.929092954494635,-21.8412755851161,4.291625,1.742
2022-11-13_12-56,,,,,,140,,1.5,,8,,33,,,-0.729883011913354,-21.7677688932573,4.23244791666667,1.741
2022-11-13_18-56,,,,,,136,,1.5,,7,,30,,,-0.998750829278938,-22.1936104812113,4.60552083333333,1.581
2022-11-14_08-55,,,,,,145,,1.1,,7,,33,,,-1.03562924830727,-22.8164564586059,4.8165,1.55
2022-11-14_12-54,,,,,,140,,1.3,,7,,31,,,-1.0943630173978,-22.9096387827982,0.154375,1.551
2022-11-14_18-56,,,,,,135,,1.6,,7.4,,30,,,-1.12667685474667,-23.2693262472382,4.25560416666667,1.448
2022-11-15_07-57,,,,,,137,,1.6,,7.4,,34,,,-1.11722380109731,-23.3377873763987,4.26075,1.801
2022-11-15_11-55,,,,,,132,,1.5,,7,,33,,,-1.07884625180206,-22.9254407767077,4.2761875,1.8
2022-11-15_18-59,,,,,,140,,1.7,,7,,31,,,-1.43706915431576,-22.5901552577329,0.195541666666667,2.132
2022-11-16_11-55,,,,,,150,,1.6,,7.6,,33,,,-1.14913141031149,-23.9182149277861,4.5695,2.205
2022-11-16_16-54,,,,,,135,,1.7,,7.8,,33,,,-1.19197027397136,-24.6553920105219,4.50775,2.056
2022-11-16_18-58,,,,,,130,85,1.5,1.2,7.8,7.5,35,25,,-1.18029676825528,-24.9679118667018,4.85766666666667,2.046
2022-11-17_07-57,,,,,,130,110,1.9,1.7,7.4,8,34,35,,-1.1726123784572,-24.4245404312842,0.205833333333333,2.079
2022-11-17_16-51,,,,,,150,,1.8,,6.8,,31,,,-1.11498494477138,-24.0074069735819,5.47516666666667,2.169
2022-11-18_07-57,,,,,,120,,1.7,,6.8,,33,,,0.831469335063311,-23.0143739301446,5.23073958333333,2.136
2022-11-18_12-56,,,,,,142,100,1.5,1.2,7.6,6.3,31,25,,1.62879235546945,-22.7793241742089,5.24360416666667,2.226
2022-11-18_16-55,,,,,,145,,1.4,,7.8,,34,,,2.29019696812521,-22.5841957697209,5.42885416666667,1.853
2022-11-18_18-57,,,,,,145,,1.4,,8,,34,,,2.62998302281996,-22.483956437874,5.39283333333333,1.893
2022-11-19_10-55,,,,,,120,,1.1,,8.6,,33,,,5.20066282666092,-21.6546458174258,5.26933333333333,2.244
2022-11-19_12-55,,,,,,145,,1.1,,8,,30,,,5.51325688018874,-21.5281369630603,5.15869791666667,2.223
2022-11-19_18-56,,,,,,143,,1,,8.8,,35,,,6.43813442456129,-21.1524103509436,5.0480625,
2022-11-20_08-58,,,,,,355,,1.7,,8,,42,,,8.48977535793981,-20.3158493427014,4.76504166666667,1.932
2022-11-20_11-56,,,,,,355,,1.6,,8.4,,42,,,8.91302280296162,-20.1467736059393,4.71872916666667,1.967
2022-11-20_16-57,,,,,,355,,1.9,,7.4,,37,,,9.65569727606395,-20.2208839565438,4.87825,
2022-11-21_06-58,,,,,,0,230,2.2,1.8,12,6,50,16,,11.7591056414649,-20.4135616001622,4.4614375,2.7
2022-11-21_12-56,,,,,,10,231,2.1,1.5,10,5.5,39,14,,12.618282046582,-20.4938454463968,4.34822916666667,
2022-11-21_19-00,,,,,,5,222,2.4,1.3,10.6,5.1,43,12.8,,13.4646674985381,-20.5718027306982,4.291625,2.48
2022-11-22_06-57,,,,,,0,222,2.5,1.5,7.8,4.7,40,14.8,,15.1098919937313,-20.7249365431499,4.42798958333333,2.608
2022-11-22_12-56,,,,,,2,248,2,1.4,9,3.5,44,10.8,,15.977815287655,-20.806085828859,4.5231875,2.31
2022-11-22_18-53,,,,,,7,243,2.2,1.4,8.8,4.3,43,8.4,,16.8497362968534,-20.8884852554217,4.43570833333333,2.23
2022-11-23_07-55,,,,,,245,0,2.2,1.7,5.1,8.5,11,43,,18.7512383448691,-21.0678635058614,4.54119791666667,2.279
2022-11-23_12-54,,,,,,250,,2.2,,5.4,,14,,,19.4382521666137,-21.1334349751645,4.04977083333333,
2022-11-23_16-54,,,,,,266,10,2,2.3,5.2,8.5,12.4,43,,19.9548764147832,-21.1829174803071,4.07035416666667,
2022-11-24_08-56,,,,,,60,225,1.1,0.8,7.8,4.4,33,10,,22.3406748872816,-21.4135038929253,4.99660416666667,
2022-11-24_12-57,,,,,,30,175,1.2,0.9,6.8,4.4,27,12,,22.8872603430072,-21.3443770322481,4.847375,
2022-11-24_16-56,,,,,,166,60,1.2,1.1,5.2,6,20,25,,23.4011114493435,-20.9530681163633,4.63125,2.427
2022-11-25_09-00,,,,,,330,90,1.8,1.1,10.2,8,81,35,,25.7825988480464,-19.78365210799,5.31821875,2.972
2022-11-25_12-56,,,,,,330,100,1.8,1.3,9.2,8,61,40,,26.4181138223312,-19.5150862361827,5.341375,
2022-11-25_16-55,,,,,,330,80,2,1,10.6,6,93,30,,27.0526930536105,-19.2462807689067,5.156125,
2022-11-26_08-04,,,,,,330,,1.8,,9.8,,83,,,29.2693060322976,-18.2412812694773,5.03777083333333,2.423
2022-11-26_11-57,,,,,,330,190,1.7,0.9,11.4,4.5,94,7.6,,29.6281537057304,-17.6304650415647,5.187,2.18
2022-11-26_16-49,,,,,,330,,1.6,,11.2,,92,,,30.0610481554443,-16.8351688901332,5.73503125,
2022-11-27_07-53,,,,,,45,90,1.1,1.1,5.5,4.3,13.5,10.4,,31.7772899584401,-13.7509749620794,6.6535625,1.242
2022-11-27_10-58,,,,,,74,,1.2,,3.7,,7.8,,,32.1299974817275,-13.1068182689549,6.4683125,1.343
2022-11-27_16-58,,,,,,80,,1.3,,4.5,,11,,,32.7828016366948,-11.9149634342886,4.38682291666667,1.331
2022-11-28_07-56,,,,,,154,,1.9,,4.7,,11.8,,,33.933694244573,-9.78749500726108,4.03433333333333,3.504
2022-11-28_12-57,,,,,,295,149,2.8,1.5,13.8,4.3,136,9.8,,34.345107820284,-9.01944388895187,4.90397916666667,
2022-11-28_17-54,,,,,,280,140,2.9,1.7,13,4.9,112,11.8,,34.7773569516869,-8.2093127712462,4.87310416666667,3.143
2022-11-29_11-56,,,,,,< 0.3,,0.3,,,,,,,36.0129039434218,-4.80053273385469,5.62439583333333,0.728
2022-11-29_15-53,,,,,,< 0.3,,0.3,,,,,,,36.12144456603,-3.8902605855761,5.89197916666667,
2022-11-30_07-56,,,,,,17,,0.4,,5.3,,12,,,36.6315934882899,-0.322467138577668,5.03777083333333,0.654
2022-11-30_10-56,,,,,,< 0.3,,0.3,,,,,,,36.8078262354467,0.234570182369511,5.05320833333333,0.811
2022-11-30_16-58,,,,,,30,,0.7,,8.5,,25,,,37.1648132102423,1.42460070086107,5.434,0.601
2022-12-01_07-11,,,,,,25,,0.8,,6.5,,18,,,37.8820840897857,3.82291165442724,4.54891666666667,0.972
2022-12-01_09-55,,,,,,18,,0.7,,5.9,,16.4,,,38.0273445989455,4.30981564452827,4.8165,1.117
2022-12-01_14-54,,,,,,15,335,0.8,0.7,6.3,6.5,14,30,,38.090539154132,5.32869187519292,5.08408333333333,0.983
2022-12-02_06-57,,,,,,< 0.3,,0.3,,,,,,,38.0738189871435,8.58137402289216,5.34652083333333,
2022-12-02_10-52,,,,,,110,,1,,6.2,,18.4,,,38.0737087785866,9.46457007417691,5.52147916666667,
2022-12-02_15-58,,,,,,209,,1.6,,6,,17,,,37.9921492775539,10.4784951568615,4.65183333333333,1.601
2022-12-03_06-55,,,,,,180,,2.4,,6,,23,,,36.6437216155939,12.5899984987728,4.19642708333333,
2022-12-03_10-55,,,,,,216,,3.2,,8,,28,,,36.3309993146284,13.0726942829879,3.49916666666667,
2022-12-03_15-27,,,,,,236,,3.2,,7,,29,,,35.9947186627977,13.5934389819714,4.07292708333333,1.844
2022-12-04_06-55,,,,,,150,,2.4,,8,,43,,,35.4626137069337,16.13815058183,4.65697916666667,2.858
2022-12-04_09-56,,,,,,150,,2,,8.4,,42,,,35.4647592404015,16.7122227563908,4.93742708333333,
2022-12-04_13-55,,,,,,155,,1.8,,8,,33,,,35.4653403044237,17.5128997548738,5.16127083333333,1.921
2022-12-05_05-58,,,,,,80,,1.2,,5.4,,27,,,35.4643361425468,20.7812543899788,5.16127083333333,
2022-12-05_09-51,,,,,,230,190,1,0.8,8,4.5,40,12,,35.4643189797659,21.5370194059762,4.76504166666667,
2022-12-05_13-59,,,,,,180,240,0.9,0.9,5,9,12,35,,35.4652138507438,22.3372132240109,5.0480625,
